Name,Class,Variant,Role,PV,Type,Size,Move,Short,ShortMin,Medium,MediumMin,Long,LongMin,Extreme,ExtremeMin,Threshold,Overheat,Armor,Structure,Specials,ImageURL,Star League (2571 - 2780),Early Succession War (2781 - 2900),Late Succession War - LosTech (2901 - 3019),Late Succession War - Renaissance (3020 - 3049),Clan Invasion (3050 - 3061),Civil War (3062 - 3067),Jihad (3068 - 3085),Early Republic (3086 - 3100),Late Republic (3101 - 3130),Dark Ages (3131 - 3150),ilClan (3151 - 9999)
Celerity CLR-02-X-D,Celerity,CLR-02-X-D,Scout,15,BM,1,"40""",0,False,0,False,0,False,0,False,0,0,1,1,"C3I,DRO,ENE,MHQ2",https://i.ibb.co/njtxHmW/celerity-3145.png,Unknown,Unknown,Unknown,Unknown,ComStar,ComStar,ComStar,Extinct,Extinct,Extinct,Extinct
Celerity CLR-03-O,Celerity,CLR-03-O,Scout,15,BM,1,"40""",0,False,0,False,0,False,0,False,0,0,1,1,"C3S,DRO,ENE,MHQ1,OMNI,TAG",https://i.ibb.co/njtxHmW/celerity-3145.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Republic of the Sphere,Mercenary
Celerity CLR-03-OA,Celerity,CLR-03-OA,Scout,16,BM,1,"40""",0,True,0,True,0,False,0,False,0,0,1,1,"DRO,ENE,OMNI",https://i.ibb.co/njtxHmW/celerity-3145.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Republic of the Sphere,Mercenary
Celerity CLR-03-OB,Celerity,CLR-03-OB,Scout,16,BM,1,"40""",0,False,0,False,0,False,0,False,0,0,1,1,"AECM,DRO,ENE,OMNI",https://i.ibb.co/njtxHmW/celerity-3145.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Republic of the Sphere,Mercenary
Celerity CLR-03-OC,Celerity,CLR-03-OC,Scout,16,BM,1,"40""",0,False,0,False,0,False,0,False,0,0,1,1,"DRO,ENE,OMNI,PRB,RCN,RSD1",https://i.ibb.co/njtxHmW/celerity-3145.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Republic of the Sphere,Mercenary
Celerity CLR-03-OD,Celerity,CLR-03-OD,Scout,16,BM,1,"40""",0,True,0,True,0,False,0,False,0,0,1,1,"DRO,ENE,OMNI",https://i.ibb.co/njtxHmW/celerity-3145.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Republic of the Sphere,Mercenary
Celerity CLR-03-OE,Celerity,CLR-03-OE,Scout,27,BM,1,"40""",2,False,2,False,0,False,0,False,0,0,1,1,"DRO,OMNI",https://i.ibb.co/njtxHmW/celerity-3145.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Republic of the Sphere,Mercenary
"Celerity CLR-03-OMM ""Rajah""",Celerity,"CLR-03-OMM ""Rajah""",Scout,14,BM,1,"16""",1,False,1,False,0,False,0,False,0,0,1,1,"DRO,ENE,MEL",https://i.ibb.co/njtxHmW/celerity-3145.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Solaris 7, Unique","Solaris 7, Unique"
Celerity CLR-04-R,Celerity,CLR-04-R,Scout,11,BM,1,"30""",0,False,0,False,0,False,0,False,0,0,1,1,"DRO,TSEMP-O1",https://i.ibb.co/njtxHmW/celerity-3145.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Republic of the Sphere,Extinct
Celerity CLR-05-X,Celerity,CLR-05-X,Scout,14,BM,1,"48""",0,False,0,False,0,False,0,False,0,0,1,1,"DRO,ENE,IRA,MEL",https://i.ibb.co/njtxHmW/celerity-3145.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Republic of the Sphere,Extinct
Flea FLE-14,Flea,FLE-14,Scout,14,BM,1,"18""/8""j",1,False,1,False,0,False,0,False,0,0,1,1,"ENE,JMPW2",https://i.ibb.co/c6JXCzJ/flea-xtr.png,Free Worlds League,Free Worlds League,Free Worlds League,Free Worlds League,Free Worlds League,Free Worlds League,Free Worlds League,Extinct,Extinct,Extinct,Extinct
Prey Seeker PY-SR10,Prey Seeker,PY-SR10,Striker,26,BM,1,"24""",2,False,2,False,0,False,0,False,0,0,2,1,"ENE,REL",https://i.ibb.co/WkLHSR4/prey-seeker-3150.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Federated Suns,Federated Suns
